polish,english,other,type
gasnąć,to go out (repeated),,verb
gasnę (gasnąć),I am going out,,conjugation
gaszę (gasić),I am extinguishing,,conjugation
gatunek,kind/sort/variety/species,Nie ma gatunku,m noun
gawęda,tale,,f noun
gawędzić,to chat (repeated),,verb
gałąź,branch,Nie ma gałęzi,f noun
gaś (gasić),Extinguish! (repeated),,imperative
gaśniesz (gasnąć),You are going out,,conjugation
gdyż,because,,conjunction
geneza,genesis/origin,,f noun
giełda,exchange (e.g. stock or labour),,f noun
ginąć,to be killed (repeated),,verb
giąć,to bend (repeated),,verb
gliniany,clay,,adjective
gmina,commune/community,,f noun
gminny,communal,,adjective
gnat,bone,,m noun
gnać,to rush (repeated),,verb
gniazdo,nest,,n noun
gniesz (giąć),You are bending,,conjugation
gniew,anger,Nie ma gniewu,m noun
gniewać się,to be angry (repeated),,verb
gnij (giąć),Bend! (repeated),,imperative
gnę (giąć),I am bending,,conjugation
gnębić,to oppress,,verb
godność,dignity,,f noun
godny,worthy/deserving,,adjective
godziwy,fair/honourable,,adjective
godło,emblem,,n noun
goić,to heal (repeated),,verb
gonisz (gonić),You are chasing,,conjugation
gonić,to chase,,verb
gonię (gonić),I am chasing,,conjugation
gorliwy,ardent/fervent/eager/zealous,,adjective
gorączka,fever,,f noun
gorętszy,hotter,,adjective
gospoda,inn,,f noun
gospodarczy,economic,,adjective
gospodarka,economy,,f noun
gospodarstwo,household,,n noun
gospodarz,host,,m noun
gotówka,cash,,f noun
gościnny,hospitable,,adjective
gość,guest,,m noun
grajek,musician,,m noun
gramolić się,to clamber,,verb
granatowy,navy blue,,adjective
granica,border I,,f noun
grobowiec,tomb III,Nie ma grobowca,m noun
grom,thunderbolt/thunderclap,Nie ma gromu,m noun
gromada,bunch/group,,f noun
gromadzić,to amass/gather (repeated),,verb
grono,bunch/circle,,n noun
grozisz (grozić),You are threatening,,conjugation
grozić,to threaten (repeated),,verb
groźba,threat/menace II,,f noun
groźny,threatening/dangerous,,adjective
grożę (grozić),I am threatening,,conjugation
gruchać,to coo,,verb
gruchot,knackered old car,Nie ma gruchota,m noun
grudzień,December,,m noun
grunt,ground/soil/base/basis,Nie ma gruntu,m noun
gruz,rubble/debris,Nie ma gruzu,m noun
grzbiet,back/spine,Nie ma grzbietu,m noun
grzebać,to bury II (repeated),,verb
grzech,sin,Nie ma grzechu,m noun
grzechotnik,rattle snake,,m noun
grzecznościowy,polite II,,adjective
grzejnik,heater/radiator,,m noun
grzmocić,to whack (repeated),,verb
grzmot,thunder,Nie ma grzmotu,m noun
grzmotnąć,to whack (once),,perf verb
grzywka,fringe (of hair),,f noun
grzęzawisko,marsh/swamp/bog II,,n noun
grób,grave/tomb I,Nie ma grobu,m noun
gust,taste,Ma pan dobry gust (You are a man of taste),m noun
guwernantka,governess,,f noun
guz,lump,,m noun
gwałcić,to rape/violate (repeated),,verb
gwałtownie,fiercely/rapidly/sharply/suddenly,,adverb
gwiaździsty,starry,,adjective
gwóźdź,nail,,m noun
góra,top/mountain,,f noun
górnik,miner,Dwaj górnicy,m noun
górny,upper,,adjective
gąbka,sponge,,f noun
gęba,unpleasant face/mouth,,f noun
gęsty,thick/dense,,adjective
głaskać,to stroke (repeated),,verb
głaszczesz (głaskać),You are stroking,,conjugation
głaszczę (głaskać),I am stroking,,conjugation
głaz,boulder,Nie ma głazu,m noun
głośnik,(loud)speaker,,m noun
głuchy,deaf,,adjective
głąb,the depths,,f noun
głębokość,depth,,f noun
hak,hook,,m noun
handel,trade/retail,,m noun
harcerstwo,scouting,,n noun
harcerz,scout,,m noun
hasać,to gambol (repeated),,verb
hazard,gambling,Nie ma hazardu,m noun
hałasować,to make noise,,verb
hejnał,bugle-call,Nie ma hejnału,m noun
hipoteza,hypothesis,,f noun
hodować,to grow/breed/raise (repeated),,verb
hojny,generous,,adjective
homar,lobster,,m noun
hrabia,count,,m noun
huk,boom/crash,Nie ma huku,m noun
hurtownia,wholesaler,,f noun
huta,steelworks/ironworks,,f noun
iloraz,quotient,Nie ma ilorazu,m noun
imbir,ginger,Nie ma imbiru,m noun
imiesłów,participle,,m noun
imitować,to imitate I,,verb
inaczej,otherwise/differently,,adverb
indziej,else,,adverb
ingerencja,interference,,f noun
ingerować,to interfere,,verb
inicjować,to initialize (repeated),,verb
instruować,to instruct (repeated),,verb
intruz,intruder,,m noun
intymny,intimate,,adjective
iskierka,small spark,,f noun
iskra,spark,,f noun
istnienie,existence,,n noun
istnieć,to exist,Zawsze istnieją rozwiązania (There's always a solution),verb
istota,creature,,f noun
istotny,significant,,adjective
izolować,to isolate (repeated),,verb
iść piechotą,to go on foot,,phrase
jad,venom,Nie ma jadu,m noun
jadalny,edible,,adjective
jadowity,venomous,,adjective
jagnię,lamb,Nie ma jagnięcia,n noun
jakby,as if/though,"Dlaczego zawsze mówisz o naszej mamie, jakby nić mogło cię zdenerwować",conjunction
jama,pit/cave/hole/cavity,,f noun
jar,canyon/ravine,Nie ma jaru,m noun
jaskinia,cave,,f noun
jaskrawy,bright/gaudy/garish,,adjective
jatka,massacre,,f noun
jawa,reality II,,f noun
jazda,a drive/ride I (e.g. car/bike),Po jeździe,f noun
jednocześnie,at the same time,,adverb
jednogłośny,unanimous I,,adjective
jednolity,uniform/homogenous I,,adjective
jednomyślny,unanimous II,,adjective
jednorazowy,single/disposable,,adjective
jednorodny,uniform/homogenous II,,adjective
jednostka,individual,,f noun
jedwabny,silk,,adjective
jedynaczka,only (girl) child,,f noun
jedynak,only (boy) child,,m noun
jedynie,only,,adverb
jemioła,mistletoe,,f noun
jeniec,captive,,n noun
jesienny,autumnal,,adjective
jezdnia,road/roadway,,f noun
jezioro,lake,,n noun
jeździec,rider,Nie ma jeźdźca,m noun
jeździsz (jeździć),You are going (by vehicle),,conjugation
jeździć,to go (by vehicle),,verb
jeżdżę (jeździć),I am going (by vehicle),,conjugation
jeżyć,to bristle (repeated),,verb
jubiler,jeweller,,m noun
jąkać się,to stutter,,verb
jęczeć,to moan/groan I (repeated),,verb
jęczmień,barley,,m noun
jęknąć,to moan/groan I (once),,perf verb
kafel,tile,,m noun
kajdanki,handcuffs,,f plural noun
kalectwo,disability,,n noun
kaleczyć się czymś,to cut oneself with something (repeated),,verb
kaloryfer,radiator,,m noun
kamienieć,to turn to stone (repeated),,verb
kamizelka,vest,,f noun
kamrat,companion/comrade/friend,,m noun
kamyk,pebble,,m noun
kancelaria,administrative office,,f noun
kapać,to drip/trickle (repeated),,verb
kaplica,chapel,,f noun
kapnąć,to drip/trickle (once),,perf verb
kaprys,a whim,Nie ma kaprysu,m noun
karaluch,cockroach,,m noun
karać,to punish (repeated),,verb
kark,nape of the neck,Nie ma karku,m noun
karoseria,car body or bodywork,,f noun
kartka,sheet of paper,,f noun
karzesz (karać),You are punishing,,conjugation
karzę (karać),I am punishing,,conjugation
kasa,cash desk,,f noun
kasjer,cashier,,m noun
kaskada,cascade,,f noun
kawaler,bachelor,,m noun
kazać,to command/order I,,verb
kałuża,puddle,,f noun
każesz (kazać),You are commanding,,conjugation
każę (kazać),I am commanding,,conjugation
kibic,supporter/fan,,m noun
kibicować komuś,to cheer somebody,,verb
kieliszek,(a) glass,Nie ma kielszka,m noun
kiepski,poor/bad/rotten,,adjective
kierat,treadmill/grind,Nie ma kieratu,m noun
kierownica,steering wheel or handle bars,,f noun
kierunek,direction,Czy to dobry kierunek?,m noun
kieszeń,pocket,,f noun
kiełkować plan/pomysł,to hatch a plan (repeated),,verb
kij,stick,,m noun
kikut,stump,,m noun
kilkanaście,a dozen or so,,numeral
kiwać,to nod (repeated),,verb
kiwnąć,to nod (once),,perf verb
klamka,handle,,f noun
klaskać,to clap hands (repeated),,verb
klasnąć,to clap hands (once),,perf verb
klatka,cage,,f noun
klawisz,piano key,,m noun
klejnot,jewel,Nie ma klejnotu,m noun
klomb,flower-bed,Nie ma klombu,m noun
klon,maple (tree) or clone,Nie ma klonu,m noun
kloszard,tramp,,m noun
kląć,to swear (repeated),,verb
klękać,to kneel (repeated),,verb
klęknąć,to kneel (once),,perf verb
klęska,disaster/defeat/catastrophe,,f noun
kobiecość,femininity,,f noun
kobiecy,feminine,,adjective
kodeks,law/code,Nie ma kodeksu,m noun
kofeina,caffeine,,f noun
kojarzyć się,to be associated/reminded (repeated),To kojarzy mi się z czymś,verb
kojący,soothing,,adjective
kolec,prickle/quill/thorn,Nie ma kolca,m noun
kolej,railway/railroad,Nie ma kolei,f noun
kolejność,sequence/order,,f noun
kolejny,consecutive/subsequent,,adjective
kolekcja,collection I,,f noun
kolisty,circular,,adjective
kombinezon,overalls,Nie ma kombinezonu,m noun
komin,chimney,Nie ma komina,m noun
komisariat,police station,Nie ma komisariatu,m noun
komitet,committee,Nie ma komitetu,m noun
komnata,chamber I,,f noun
komora,chamber II,,f noun
kompromitujący,compromising,,adjective
koncesja,licence/concession,,f noun
kondygnacja,storey/tier,,f noun
konfliktowy,confrontational,,adjective
konieczność,necessity,,f noun
konkurencja,competition,,f noun
konkurować z kimś o coś,to compete with somebody for something,,verb
konkurs,contest/competition,,m noun
konsekwentny,consistent,,adjective
konstatować,to ascertain (repeated),,verb
konto,account,,n noun
kontrahent,contractor,,m noun
kopalnia,mine,,f noun
koparka,excavator/digger,,f noun
kopać,to kick (repeated),,verb
koperta,envelope,,f noun
kopia,copy/duplicate,,f noun
kopniak,kick,,m noun
kopnąć,to kick (once),,perf verb
kora,bark (skin of a tree),,f noun
korcić,to tempt,,verb
korumpować,to corrupt (repeated),,verb
korygować,to correct/rectify/revise (repeated),,verb
koryto,trough or river bed,,n noun
korzenny,spicy,,adjective
korzeń,root,Pamiętaj o swoich korzeniach!,m noun
korzystać,to benefit from (repeated),,verb
korzystny,beneficial/favourable/profitable,,adjective
korzyść,benefit,,f noun
kosmaty,hairy/shaggy,,adjective
kosmyk,wisp,,m noun
kostka,cube/die,,f noun
kostnica,morgue/mortuary,,f noun
koszmar,nightmare,Nie ma koszmaru,m noun
kołdra,duvet,,f noun
kołek,peg,Nie ma kołka,m noun
kołnierz,collar,,m noun
kołysać,to rock/sway (repeated),,verb
kołyska,cradle,,f noun
kołyszesz (kołysać),You are rocking/swaying,,conjugation
kołyszę (kołysać),I am rocking/swaying,,conjugation
kościsty,bony,,adjective
koślawy,crooked,,adjective
kpić,to mock/scoff/jeer II (repeated),,verb
krach,crash,Krach giełdowy/finansowy,m noun
kradniesz (kraść),You are stealing,,conjugation
kradnę (kraść),I am stealing,,conjugation
kradzież,robbery/theft,,f noun
kraina,land/region/area,,f noun
kram,booth/stall,Nie ma kramu,m noun
krata,bars/grating/grid,,f noun
krawiec,tailor,,m noun
krawędź,edge II,,f noun
kraść,to steal (repeated),,verb
kres,end,Nie ma kresu,m noun
krewny,(blood) relative,,m noun
kreślić,to trace/plot/sketch (repeated),,verb
kroczyć,to stride,,verb
kroić,to cut I (repeated),,verb
krok,step,Nie ma kroku,m noun
kromka,slice,,f noun
kropla,drop,,f noun
kropnąć,to hit/shoot/swing,,verb
kruchy,fragile/crispy/tender,,adjective
kruk,raven,,m noun
krwawy,bloody,,adjective
krwotok,bleeding/haemorrhage,Nie ma krwotoku,m noun
kryjówka,hideout/hideaway,,f noun
krytykować,to criticise (repeated),,verb
krzaczasty,bushy,,adjective
krzak,bush/shrub,Nie ma krzaku,m noun
krzepki,brawny/burly/husky,,adjective
krzepnąć,to clot/coagulate/solidify (repeated),,verb
krztusić się,to choke (repeated),,verb
krzyczeć,to shout (repeated),,verb
krzyczysz (krzyczeć),You are shouting,,conjugation
krzyczę (krzyczeć),I am shouting,,conjugation
krzykniesz (krzyknąć),You will shout,,conjugation
krzyknąć,to shout (once),,perf verb
krzyknę (krzyknąć),I will shout,,conjugation
krzywa,curve,,f noun
krzywda,harm,,f noun
krzywdzić,to harm/hurt (repeated),,verb
krzyż,cross,,m noun
krój,cut/style/cutting,Nie ma kroju,m noun
królewicz,prince I,,m noun
królowa,queen,,f noun
krótkoterminowy,short-term,,adjective
krótkotrwały,short-lived/short-lasting,,adjective
krążyć,to circle/rotate/orbit,,verb
kręcony,curly/spiral,,adjective
kręgiel,skittle,Nie ma kręgla,m noun
kręgosłup,backbone/spine,,m noun
krępować,to embarrass II (repeated),,verb
krępy,stocky,,adjective
kręty,winding,,adjective
książę,prince II,,m noun
księga,(large) book,,f noun
księgowa,accountant/bookkeeper,,m noun
księżniczka,princess,,f noun
kształt,shape,Nie ma kształtu,m noun
kształtować,to shape (repeated),,verb
kuchenka,stove/hob,,f noun
kuchenny,kitchen,,adjective
kula,ball/sphere/bullet,,f noun
kulawy,lame or limping,,adjective
kulić,to hunch (repeated),,verb
kumpel,pal/buddy,,m noun
kupno,purchase,,n noun
kurort,health resort or spa,Nie ma kurortu,m noun
kurtuazja,courtesy,,f noun
kurz,(household) dust,Nie ma kurzu,m noun
kusić,to tempt/entice (repeated),,verb
kuszący,tempting/enticing,,adjective
kuć,to forge (e.g. iron),,verb
kuśtykać,to limp/hobble (repeated),,verb
kwadra,quarter,,f noun
kwadratowy,square,,adjective
kwatera,lodging,,f noun
kwestia,question/matter,To kwestia życia i śmierci (It's a matter of life and death),f noun
kwiecień,April,,m noun
kwota,amount/sum,,f noun
kąpiel,bath,Wylać dziecko z kąpielą,f noun
kąsać,to bite/sting (repeated),,verb
kędzierzawy,curly,,adjective
kępa,tuft,,f noun
kęs,mouthful/bite/morsel,,m noun
kładziesz (kłaść),You are laying,,conjugation
kładę (kłaść),I am laying,,conjugation
kłamać,to lie (repeated),,verb
kłaść,to lay (repeated),,verb
kłonić,to bow (repeated),,verb
kłos,ear of grain,,m noun
kłusować,to trot/amble (repeated),,verb
kłócisz się (kłócić się),You are arguing,,conjugation
kłócić się,to argue (repeated),,verb
kłócę się (kłócić się),I am arguing,,conjugation
kłótnia,argument,,f noun
kłębić się,to whirl,,verb
lada,counter,,f noun
lakier,varnish/polish/paint,Nie ma lakieru,m noun
lakoniczny,laconic/terse,,adjective
lalka,doll,,f noun
lansować,to promote/launch (repeated),,verb
laska,walking stick,,f noun
latarka,torch/flashlight,,f noun
latarnia morska,lighthouse,,phrase
latawiec,kite,Nie ma latawca,m noun
lecieć,to fly (repeated),,verb
lecisz (lecieć),You are flying,,conjugation
lecz,but,,conjunction
leczenie,treatment/therapy,,n noun
leczyć,to treat/cure/heal (repeated),,verb
lecę (lecieć),I am flying,,conjugation
ledwie,barely/hardly,,particle
legia,legion,,f noun
lenić się,to be lazy,,verb
lepszość,superiority,,f noun
letni,summery,,adjective
lewa strona,left side,Po lewej stronie (on the left side),f noun
lewicowy,left-wing,,adjective
leń,lazybones,,m noun
leż (leżeć),Lie!,,imperative
leżeć,to lie,,verb
leżysz (leżeć),You are lying,,conjugation
leżę (leżeć),I am lying,,conjugation
licencjat,bachelor's degree,Nie ma licencjatu,m noun
liczba,number/figure,,f noun
liczebnik główny,cardinal number,,adjective
liczebnik porządkowy,ordinal number,,adjective
liczny,numerous,,adjective
liczyć,to count (repeated),,verb
lina,rope,,f noun
lipiec,July,,m noun
listonosz,postman,,m noun
listopad,November,,m noun
litościwy,merciful,,adjective
lizać,to lick (repeated),,verb
liznąć,to lick (once),,perf verb
liznę (liznąć),I will lick,,conjugation
liźniesz (liznąć),You will lick,,conjugation
liżesz (lizać),You are licking,,conjugation
liżę (lizać),I am licking,,conjugation
lniany,linen,,adjective
loch,dungeon,Nie ma lochu,m noun
lokować,to place (repeated),,verb
los,fortune/fate,Nie ma losu,m noun
losować,to draw (e.g. a card) (repeated),,verb
lubieżny,lecherous/lascivious,,adjective
lud,folk/people,Nie ma ludu,m noun
ludność,population,,f noun
ludzki,human,,adjective
luneta,telescope,,f noun
lunąć,to pour down,,verb
luty,February,,m noun
ląd,land,Nie ma lądu,m noun
lądować,to land (repeated),,verb
lęk przed czymś,fear of something,Nie ma lęku,m noun
lśniący,shiny,,adjective
lżejszy,lighter,,adjective
macierzyństwo,motherhood,,n noun
macocha,stepmother,,f noun
maczeta,machete,,f noun
magisterium,master's degree,,n noun
magnes,magnet,Nie ma magnesu,m noun
maj,May,,m noun
majaczyć,to hallucinate/rave,,verb
majątek,asset/property,Nie ma majątku,m noun
